﻿numero_processo,numero_formatado,classe,assuntos,data_ajuizamento,data_ultima_atualizacao,tem_transito_julgado,data_transito_julgado,tem_baixa_definitiva,data_baixa_definitiva
00001774720238160030,0000177-47.2023.8.16.0030,Agravo em Recurso Especial,Indenização por Dano Moral,27/02/2026,09/06/2026 10:04,Sim,08/06/2026 13:33,Sim,08/06/2026 13:33
00004316420248160101,0000431-64.2024.8.16.0101,Agravo em Recurso Especial,Práticas Abusivas,24/03/2026,09/06/2026 12:15,Sim,03/06/2026 13:13,Sim,03/06/2026 13:13
00004571420228160075,0000457-14.2022.8.16.0075,Agravo em Recurso Especial,Indenização por Dano Material,03/06/2025,09/06/2026 14:17,Sim,01/06/2026 13:53,Sim,01/06/2026 13:53
00004643520228160033,0000464-35.2022.8.16.0033,Agravo em Recurso Especial,Indenização por Dano Material | Indenização por Dano Moral,10/03/2026,09/06/2026 09:09,Sim,08/06/2026 16:13,Sim,08/06/2026 16:13
00005182520208160177,0000518-25.2020.8.16.0177,Agravo em Recurso Especial,Práticas Abusivas,08/12/2025,09/06/2026 12:50,Sim,01/06/2026 13:43,Sim,01/06/2026 13:43
00005513720228160147,0000551-37.2022.8.16.0147,Agravo em Recurso Especial,Irregularidade no atendimento | Tratamento médico-hospitalar,02/10/2025,09/06/2026 12:05,Sim,01/06/2026 14:43,Sim,01/06/2026 14:43
00006346720168160081,0000634-67.2016.8.16.0081,Agravo em Recurso Especial,Indenização por Dano Material | Indenização por Dano Moral,31/03/2026,09/06/2026 08:33,Sim,02/06/2026 13:13,Sim,02/06/2026 13:13
00009210520148160112,0000921-05.2014.8.16.0112,Recurso Especial,Compromisso,18/06/2025,09/06/2026 08:33,Sim,01/06/2026 15:43,Sim,01/06/2026 15:43
00012484420118160050,0001248-44.2011.8.16.0050,Recurso Especial,Dívida Ativa (Execução Fiscal),16/09/2025,09/06/2026 12:40,Sim,08/06/2026 15:13,Sim,08/06/2026 15:13
00021400720158160116,0002140-07.2015.8.16.0116,Agravo em Recurso Especial,Reintegração ou Readmissão,20/02/2026,09/06/2026 09:00,Sim,02/06/2026 16:53,Sim,02/06/2026 16:53
00031293320248160072,0003129-33.2024.8.16.0072,Recurso Especial,Indenização por Dano Moral | Perdas e Danos | Obrigação de Fazer / Não Fazer | Ônus da Prova,05/05/2025,09/06/2026 10:02,Sim,01/06/2026 15:33,Sim,01/06/2026 15:33
00039817220168160190,0003981-72.2016.8.16.0190,Agravo em Recurso Especial,Fornecimento de Água | Irregularidade no atendimento,13/10/2025,09/06/2026 12:50,Sim,01/06/2026 15:33,Sim,01/06/2026 15:33
00043377820248160031,0004337-78.2024.8.16.0031,Agravo em Recurso Especial,Tráfico de Drogas e Condutas Afins,04/03/2026,09/06/2026 08:37,Sim,03/06/2026 13:03,Sim,03/06/2026 13:03
00060424620188160056,0006042-46.2018.8.16.0056,Agravo em Recurso Especial,Vícios de Construção | Indenização por Dano Moral,27/02/2026,09/06/2026 08:47,Sim,08/06/2026 15:23,Sim,08/06/2026 15:23
00079625320238160194,0007962-53.2023.8.16.0194,Recurso Especial,Alienação Fiduciária,23/07/2025,09/06/2026 11:00,Sim,01/06/2026 13:53,Sim,01/06/2026 13:53
00115708820258160000,0011570-88.2025.8.16.0000,Agravo em Recurso Especial,Inadimplemento,06/03/2026,09/06/2026 12:33,Sim,08/06/2026 13:43,Sim,08/06/2026 13:43
00120055920128160019,0012005-59.2012.8.16.0019,Agravo em Recurso Especial,Erro Médico | Erro Médico,04/02/2026,09/06/2026 09:53,Sim,08/06/2026 14:43,Sim,08/06/2026 14:43
00168974320238160013,0016897-43.2023.8.16.0013,Agravo em Recurso Especial,Reintegração ou Readmissão,16/05/2025,09/06/2026 08:58,Sim,03/06/2026 14:13,Sim,03/06/2026 14:13
00178295320228160017,0017829-53.2022.8.16.0017,Agravo em Recurso Especial,Corretagem,09/03/2026,09/06/2026 12:18,Sim,08/06/2026 13:13,Sim,08/06/2026 13:13
00182346420238160014,0018234-64.2023.8.16.0014,Agravo em Recurso Especial,Rescisão do contrato e devolução do dinheiro,03/02/2026,09/06/2026 13:26,Sim,01/06/2026 14:33,Sim,01/06/2026 14:33
00227469820248160000,0022746-98.2024.8.16.0000,Agravo em Recurso Especial,Dívida Ativa (Execução Fiscal) | ICMS/ Imposto sobre Circulação de Mercadorias,11/09/2025,09/06/2026 08:35,Sim,03/06/2026 16:03,Sim,03/06/2026 16:03
00255266220218160017,0025526-62.2021.8.16.0017,Agravo em Recurso Especial,Preferências e Privilégios Creditórios,04/11/2025,09/06/2026 11:00,Sim,02/06/2026 15:43,Sim,02/06/2026 15:43
00259164720128160017,0025916-47.2012.8.16.0017,Agravo em Recurso Especial,IPTU/ Imposto Predial e Territorial Urbano,04/02/2026,09/06/2026 09:53,Sim,03/06/2026 16:13,Sim,03/06/2026 16:13
00354452420248160000,0035445-24.2024.8.16.0000,Agravo em Recurso Especial,Indenização por Dano Material | Intimação | Intimação / Notificação | Indenização por Dano Moral,12/01/2026,09/06/2026 09:48,Sim,08/06/2026 14:03,Sim,08/06/2026 14:03
00383041320248160000,0038304-13.2024.8.16.0000,Agravo em Recurso Especial,Contratos Bancários | Perdas e Danos,09/07/2025,09/06/2026 12:25,Sim,03/06/2026 16:23,Sim,03/06/2026 16:23
00530179520218160000,0053017-95.2021.8.16.0000,Agravo em Recurso Especial,Prestação de Serviços | Honorários Advocatícios,07/11/2022,09/06/2026 11:49,Sim,03/06/2026 14:23,Sim,03/06/2026 14:23
